"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"jackrlarson-72679","23 October 2018","One of the best movies of the year! The performances are all excellent. The music surpasses what I had imagined. Brings back the eighties superbly. The last 15 to 20 brought tears to many in the showing I was at.
Don't miss it.","
            10/10
            "
"TheBigSick","27 January 2019","The film is probably OK from a music point of view, but is simply a disaster in filmmaking aspects. The editing is a mess. There are some scenes connected quite awkwardly, and the transition of the central figure Freddie is quite rigid. The character development is highly problematic as well. The supporting roles are flat and one-dimensional. The storytelling is too direct and takes a lot of shortcuts. Most of the dialogues are not well-written.In one word, the film could have been much improved if a professional director and screenwriter had been hired.","
            10/10
            "
"Padreviews","25 October 2018","Love of my life11/10 in short this film is SUPERBNow I've got that out of the way - the theme is loveLove of a friends , love of a man for a woman and man for man, love of a family ,love of work colleagues , love and adoration and the search of love for oneselfBe prepared it's an emotional roller coaster - it's a film of dreams hopes and aspirations and the ups and downs all of that encompasses . It's a film about trust and deceit . It's about a maverick and it is about Mavericks that make them unique.This couldn't have been done any better , I personally hate films longer than 100 minutes but after 137 minutes I waited till the end of the credits and wanted an encore !I think the success of this film will see a raft of musical biopics - Rocketman about Elton John comes out next year , and I'm sure someone will make one about George Michael , Prince , David Bowie , Michael Jackson , Marc Bolan the list is long ... and I could even see a remake of Pink Floyd the wall with a story and dialogue in there rather than relying on the music and animation of the 1982 version .You probably know the story and you know the end but it handles the life of Freddie Mercury and Queen from their beginning in 1970 till the highlight of Live Aid in 1985 and fifteen year period of rise and fall and return to superstardom - I want it all and I want it now .RIP Freddie 1991 - you were so loved , you are still lovedDedicated to Mary Austin the love of his lifeThe show must go on.Pad.A 11/10 ( in the rock tradition of spinal tap level 10)","
            4/10
            "
"sarahjanegannon","27 October 2018","Wow. What a truly inspiring film.
Made me feel that being eccentric and different is ok as long as you are you!
The film brought so many emotions - laughter, sadness, joy - very heart warming.
At times I forgot I wasn't actually watching the guys from Queen - they all looked so like them - especially May and Mercury.
I thought Rami rocked the role. Massive respect to this guy!
Would happily pay to go back in and watch it again! My film of 2018!!!!","
            10/10
            "
"NatKaminska","9 November 2018","I'm fan of Queen& Freddie himself, but the same time I graduated film school and I love cinema, that's why I also like to be as objective as possible in my reviews of movies. Here I will try to make my criticism honest.Yes, sometimes professional film critics are deliberately malicious, and their opinions are detached from reality, but sometimes they are also right, and in the case of 'Bohemian Rhapsody', they are right.First of all, the film distorts a lot of facts from Freddie and Queen's life, and if it were not significant events - I would not care at all, because I understand copywrite and legal issues, but these are important things and all of this should be done better. Fred's life was dramatic enough, if only the creators of the film really wanted to make an interesting movie, they would go even deeper into Mercury's childhood and the fact he&his family, escaped their own homeland, because of brutal revolution. This could have been the starting point / foundation for a deeper, better portrait of the Queen singer.Unfortunately, there is no depth here, the worst part is that this film is schematic, completely flat, only glides over important topics, does not carry out any serious psychological analysis of such a fascinating, complicated character that Freddie was.I don't accept excuses of many Queen fanatics , that ""this is the story of the band and not Mercury himself"". Because first, one does not exclude the other: it was possible to include deeper analysis / truth about Freddie and the band, and second: the band's history is not shown in some great way either. The best moment of a rather boring, long-lasting first half of the movie is the recording of '' Bohemian Rhapsody ''. The rest is a fast, also quite chaotic montage of musical scenes depicting, carelessly, Queen tours and writing of individual hits, and while I understand, that in a 2-hour movie it is not possible to show each creative process in the smallest detail, it was still possible to show it better from the pov of the characters - band members, thus also build better and deeper characters in this film.The second half is better, I admit, both in terms of pace and in terms of writing/story, and the icing on the cake is the Live Aid concert. The performance, photography, camera work, acting of the main actor is at the highest level in this scene, unfortunately it is not enough to save this movie from failure.Malek's acting, imo, certainly doesn't deserve an Oscar nomination. He tries his best with an empty and schematic screenplay, writers / director's mistakes are not his fault, true, but Oscar is an award for outstanding acting performances, which are not limited to robotic mannerism, it must be accompanied by the psychological, emotional depth of the portrayed character, and there is no such depth in this film, in this main character. The only really emotional scene that attempts to penetrate into Mercury's soul is the scene of conversation in the rain. It is here, that Malek's creation is the truest and the best.But again : when we look at this role through the prism of the whole film, majority of Malek's work is the mentioned mechanical mannerism - perfectly recreated- but it is not enough to rate this role positively, let alone reward it with an Oscar nomination. Imitative mannerism, gestures, faces alone - it is only a skeleton, an acting sketch and not a full, beautiful, complex image, which should be any biography. There is simply no soul in this act, and it's just a shame, if you play a figure as extraordinary, colorful and complicated as Freddie Mercury.In addition to the obvious mistakes of screenwriters and director, Malek himself (for me), didn't rise to the task. Sometimes he is just Mercury caricature and large, artificial teeth don't help to erase this impression, in fact, the opposite. The make-up department didn't do good job here, famous teeth of Queen frontman could have been done better, much more subtly, it would look less ridiculous. Returning to Rami Malek - he is still a young talent who - like any actor - needs more workshop and acting experience, plus really good material, to really shine. That is why I predict Rami Malek will not win an Oscar.I still think that the great mistake of the Bohemian Rhapsody creators, was to part ways with Sacha Baron Cohen. When I found out that he had left Mercury's biography project, I thought it was a big mistake from film producers, because I was sure Cohen wanted to tell an uncompromising, interesting story, not forcedly smoothed and it seems, my intuition did not disappoint me at the time. Cohen, a remarkable & colorful character himself, would have fit in perfectly in this role. In addition, after watching the interview, in which Cohen explained why he finally left the movie and what vision of Mercury he had - I regret even more that it was not him, who played the Queen main singer. He wanted to portray Freddie as a complicated, controversial figure with a great appetite for life, but also a great artist, who mixed his big ego with great sensitivity and shyness - I have no doubt that it would be a great role. Now it's just a missed opportunity.As a result, we got schematic, ""polite"" movie, oh, what an irony - because Freddie Mercury, as well as the entire Queen, were as original, unapologetic and creative as you could be and they deserve much better. Sorry, but real Queen fan, who wanted raw, real, complex, deep, uncompromising truth and story - just cannot like this movie. Mercury and all the Queen story has so much potential (wasted in this movie). I guess I'll just wait for another film, bold and great this time, I hope.","
            10/10
            "
"nanci-55759","12 November 2018","I'm a 75 yr old Gramma that saw this movie with her son and grandson. We all Loved it!
I ""heard"" Queen music as I worked and raised my 4 children, but never really knew the band it came from.
My children Lived with Queen music, and totally identified with them, especially in their band performances.
My grandson heard Queen because his father played it all the time.
We saw this movie as a family and the movie was about family, friends, and loyalty. The typical band movie is about rising-to-fame, falling-from-fame. This movie is about hanging together as family, as loyal friends ..something we Really need more of today!! The 2 :15 time frame flies by and you're left wanting more...more... more...
Rami Malek is awesome as Freddie! He, his 3 co-stars, last director, music director, and entire crew deserve nominations! See this in a theatre that has great sound where you can appreciate the depth of the music!
One of my most favorite movies in 75 years!","
            5/10
            "
"ashwetherall1","1 November 2018","After listening to the reviews calling Bohemian Rhapsody a bog standard bio I think it's time for me to put my two cents in to the ring.Personally I must have been watching another movie. Or is that I just understood what the makers of Bohemian Rhapsody were trying to achieve.Actually let's start with just that.Bohemian Rhapsody is a tribute to the legacy of Freddie Mercury and also the band Queen. It was primarily made for the fans of the the band and to showcase the band and its history to a new audience.To do this the film primarily uses a straight forward story telling style. This also means that events and time lines have to be condensed and fictionalised to tell that story in just over 2 hours. This also means that many real characters have to amalgamate in to a couple of fictional personas. I personally had no problem with this. I also liked the fact that the film poked fun at future events using also comic casting. Those who have seen the movie will know what I'm talking about.
It seems to me that the critics wanted something that real Queen Fans have no real time for, namely a movie that explores Freddie's wild private life. We know what he did. We know a lot about his wild side. But Queen Fans want a film about the most important elements of Freddie's life. Namely the band and its music.Bohemian Rhapsody does something better.Instead of showing a debauched indulgent life, Bohemian Rhapsody instead shows us a man trying to come to terms with his extraordinary life. It shows how with the help of the truly talented other members of Queen he was able to do that. It also shows his Joy, his loneliness, plus some of his mistakes and missteps along the way, and of course his complex relationship with Mary Astor possibly the one person he truly loved.It tackles his sexuality and some of the aftermath of his partying. It also shows the beginning of his illness. This is all achieved with sensitivity and respect.Now for the music.Bohemian Rhapsody is possibly at its greatest when recreating queen on stage. Using a mixture of real singing from the actors, Queen and Freddie's over dubbing and sound alike artists to create a totally unique feel to Queens songs. Recreations of the bands greatest hits are mixed, to sound fresher than ever. Some even help the movie to move along showing headlines and critic's reviews as the songs play out. Then there's The Live Aid performance. Much like the real concert it almost dwarfs everything that has gone before on film. We the audience really get to experience what it was like to be at that event. Not just from the crowd but from the bands point of view. Almost every highlight from that performance is featured.The performances.Everyone agrees Rami Malek is a revelation as Freddie after about 20 minutes you totally forget that this is an actor. He is Freddie. This can also be said for Gwilym Lee, Ben Hardy and Joseph Mazzello playing The rest of the band in fact in the case of Lee the transformation into Brian May is astounding. As the film primary focuses on Freddie you can feel a sorry that aspects of the other members of the band aren't fully explored. Rogers womanising is hinted at but Brian's private life and his relationship with his father are not. John Deacon remains the enigma of the band.
Lucy Boynton gives a carefully measured and sensitive performance as Mary Astor coming to terms with the changes in Freddie's life.
Unfortunately Allen Leech has the unenviable task of playing a composites of some of Freddie's lovers and can be seen as a bit of a cliche villain. But he gives a good account of himself.
As for the rest of the cast. Everyone else is solid.The film begins with Live Ad and ends on that same day.If you're a fan of Queen I defy you to leave your seat as the credits role..
To Sum up. Bohemian Rhapsody is a celebration, not an expose and it should be treated that way by those pay their money to see it..
The Critics obviously didn't get it.","
            10/10
            "
"headly66","3 November 2018","The movie itself is just OK, not spectacular in any way. The lead playing Freddie is too short, too toothy and acting too hard. But what bothers me the most is the history and facts.They have John Deacon as member of Smile.
They have them performing Fat Bottom Girls 3 years before it was written.
They have a Brazil concert on TV in 1977 that didn't happen until 1985.
The band is shown recording We Will Rock You in a scene set in 1980 when the song came out in 1977.Did the members of Queen even screen this?","
            8/10
            "
"ramonvandinther","28 October 2018","This movie is a must see for any music and movie lover
Queen fan or no Queen fan,anyone who sees this movie will be going through a rollercoaster of Emotions
Beeing it Queens music or the story behind the music
Rami Malek puts down an excellent version of Freddie Mercury, but all the actors play great in this movie
In my opinion best thing to do is ignore the criticism and go see it for yourself.","
            5/10
            "
"planktonrules","25 July 2019","Long ago, I tired of the Oscars. Much of it was because too often the films they picked and the performances they praised were ones that simply were unpleasant and box office poison. In the case of ""Bohemian Rhapsody"", however, the film earned nearly a billion dollars at the box office AND managed to win four awards...and one was a major one (Best Actor). What a refeshing breath of fresh air...and what an enhoyable and inspiring film.One thing you should know about me is that I was a history teacher and hate most bio-pics and historical films. This is because too often they play very fast and loose with the facts in order to tell a more cinematic tale. While some of this happens in ""Bohemian Rhapsody"", the vast majority of the film seems true and isn't filled with fabrications. Sure, you can find a few examples here and there where the film changes dates and facts to make the story seem more inspirational...but a lot less of this happened than I expected.In addition to generally sticking to the facts, the film had two major things going for it: Rami Malek's amazing performance as well as a strong desire to entertain the audience. The film will definitely get your blood pumping and feet and body moving....and at times it feels like you've been in a time machine and are actually seeing Queen in concert. Overall, exceptionally well done and inspiring.","
            1/10
            "
"cherold","6 March 2019","Bohemian Rhapsody follows the well-worn groove of celebrity bio-pics, as a brilliant artist pushes his vision into the world while dealing with personal travails before ultimately doing a triumphant celebratory something (the other path, not taken, is similar but with a downbeat ending).Rami Malek makes a persuasive rock star; theatrical, intense, egotistical, driven, his oversized personality masking the lonely, unconfident inner man.But Malek's Freddie Mercury is also pretty annoying, self-centered and arrogant, and ultimately he struck me as someone I wouldn't want to meet. And while at first I found the movie generally entertaining, fueled by Queen's music and Mercury's drive, my attention began to flag as the film became increasingly soap operish, and the final recreation of the 20-minute LiveAid concert was something only a concert-movie fan (I am not one) could love.For me the movie was most notable for the trivia I learned along the way. We Will Rock you was conceived as an audience participation song. Zoroastrianism is still practiced. The filmmakers have no idea when Fat Bottomed Girls came out (judging by where the put it in the movie).Admittedly I am in the minority on IMDB, where almost everyone is raving about this film. And while I was increasingly bored, at the end I looked over at my girlfriend and she was weeping, which I wouldn't have even guessed as a possible reaction to the film. So I guess if you like music-heavy, somewhat fictionalized, thoroughly manipulative biopics, you might love this.","
            3/10
            "
"RIK-22","15 April 2019","In my opinion to make a good biopic picture, you must do two things; One stick to the true story as much as possible, two, show the things that the public has never seen, this is what makes the film interesting.Now this fails on both accounts. Key scenes in this are completely untrue and therefore the motivations behind the actions we seen aren't true. In the end its a largely fictional account of Queen.So many biopic movies fail on focusing on the behind-the-scene stuff, which is what we are all interested in. I don't need to see a Queen tribute band perform, I can see the real thing on YouTube. What I want to see is the real Freddie, the real scandals, the real struggles.In the end I don't feel I know the Queen story any better or that I got to know/understand Freddie Mercury either.","
            6/10
            "
"alvesmarceloalves-73751","3 November 2018","""Bohemian Rhapsody"" had everything to be a great biopic. The story of singer Freddie Mercury is rich and different from many who lived in show business and at the time of the emergence of stadium mega-bands in the twentieth century. By itself is exotic a guy who was born in Zanzibar, Africa, spent his childhood in India and then was forced to immigrate to England because of a revolution in his country, began to study design and suddenly joins with a quasi dentist, a quasi-physicist and an almost mechanical engineer to set up a band that would be a hit-maker in the '70s and' 80s.But ""Bohemian Rhapsody"" is a lazy film that does not deliver even the basics, which would be a facetious, linear biopic based on historical moments of the band and its vocalist. It is a superficial, erratic work that adds nothing new or relevant to the biography of Queen or Freddie himself, one of the great voices in rock history.The film, for example, touches on important issues that deserved to be further explored. Ready a few: why is Freddie's relationship with the family so cold and filled gaps? How was your childhood in Zanzibar and India, where, by the way, did he start playing piano? What kind of influence could he have suffered from this life in these two places? In what family, immigration influenced him or not to be what he became? Why deny the name and origins? These are questions that could have been asked and were not answered. In the film, his family is almost a tip in history.Freddie's own relationship with his homosexuality, as well as his internal conflicts, lack and solitude are not properly treated / harnessed to try to understand who Freddie was. In short, it's a very little-delivered movie.Of course, the production suffered several problems. Initially, Freddie would be played by Sacha Baron Cohen, but divergences with guitarist Brian May and drummer Roger Taylor, ended up dynamiting their participation. The place ended up being occupied by Rami Malek, known for his participation in the TV series ""Mr Robot"", but delivering a Freddie just acceptable and nothing remarkable.After that, Bryan Singer himself was fired from production with two weeks to go. Direction this one that fell in the lap of Dexter Fletcher. But the film ended up having the same face of Singer's later work, with little depth in approaching characters and work short of expectations. ""X-Men: Apocalypse"" (2016) is an example.In fact, ""Bohemian Rhapsody"" only lends itself to Queen's good songs, especially those that represented turning points in the band's career - Bohemian Rhapsody, Love of My Life, We Will Rock You, I Want to break free "","" We are the Champions "","" Another one bites the dust ""- to bring comfort to the heart of the viewer. It would have been more fruitful and cheaper, though, to listen to Queen's greatest hits on Spotify.The screenplay by Anthony McCarten and Peter Morgan, who is responsible for such good films as ""The Last King of Scotland"" (2005), ""The Queen"" (2006), Frost / Nixon (2008) and ""Rush"" (2013) also sins by not providing basic information, putting Rock in Rio in a random time and space between 1975 and 1985 and creating bad dialogues. Nor does it seem that there was a band there creating great hits. And even these moments of creation of the musicians sound fake and soulless.If Malek is far from striking, but does not compromise a gear that is flawed from beginning to end, the actors who make the other members of the band - always seen through the narrative with extreme generosity - are weak. Gwilym Lee (Brian May), Ben Hardy (Roger Taylor), Joseph Mazzello (John Deacon) is there to not compromise and be the sober pieces of Freddie Mercury's egotrip. Meanwhile, entrepreneur Paul Prenter (Allen Leech) is depicted as the villain in the film, responsible for the friction between Freddie and the rest of the band and even for his temporary separation.So, ""Bohemian Rhapsody"" goes through its 2h15min owing a lot. His most memorable moments turn out to be Malek's scene in the rain, when Freddie decides to leave the bottom of the pit to resume his career with Queen and the historical presentation in 1985 Live Aid, a key point for the band and Freddie, in a context where the singer had just learned that he had AIDS, a disease that would eventually contribute to his death six years later. But unfortunately all of Queen's timeline in the movie does not even hit 70% of what actually happened. Just as the viewer leaves the cinema without even knowing the name of a disc of the band.Singer, by the way, chose to put a fake Queen's pocket show inside the film to portray the performance at Live Aid. I do not know if that was the best option. It seemed like a lazy option to me. For it was not a movie or a real Queen show, bringing noises everywhere.So ""Bohemian Rhapsody"" ends with the false feeling of coming out on top, when in fact it left more holes and a bit of entertainment in an absolutely expendable movie.","
            6/10
            "
"The-Sarkologist","7 November 2018","Yep, this is the story of Queen, or at least the story from when they first came together as a band to their performance at Live Aid, which is apparently gone down as one of the greatest rock performances of the modern era. Me, I'm not so sure but then again I wasn't there, and even if I did watch it, I was too young to remember, except that I was made to go to be by my parents because I had to get up and go to church in the morning, and while I did catch a glimpse of the Phillidelpia set the next morning, they seemed to have more pressing issues than me watching a rock and roll extravaganze. Hey, at least my parents let me watch some of it, so that is saying something.
Well, the story is pretty interesting, though to be honest with you, it really isn't all that much different to what you would get from the story of most other rock bands. You know, sex, drugs, rock and roll and all that, or at least where Freddy Mercury is concerned. In fact it seemed as if the other members of the band were actually a lot more straight laced than Freddy, having families and all that. Yet Freddy is the face of the band, the guy who is basically an entertainer, and boy did he know how to pull off a stage performance. I guess that is why Adam Lambert fits in so well with what remains of the band these days (John Deacon has basically called it quits, though Roger Taylor and Brian May still travel about).
So, while the movie is about the band, in many ways it is also about Freddy. A guy who probably didn't fit in all that well with the people around him, namely because everybody saw him as a Packie, yet from that first performance when he stunned the university crowd, to that day at Live Aid where he literally stunned the world, there was a guy who really seemed to be able to live it up.
Yet it is also a story of how many of these rockers live fast and die young, and comparatively speaking, Freddie did die rather young, namely due to the aids virus, which is kept secret from the world until the day before he died. Mind you, that last album of theirs, Made in Heaven, is pretty depressing, as a friend, and a big Queen fan himself, admitted. I guess with me A Kind of Magic was probably their last great Album, though The Miracle did have a couple of good tracks on it, as did Innuendo. In fact, I believe the Kind of Magic tour was basically the last tour that they were able to perform, with Freddy really entering the final stages of the disease - back in those days it didn't matter how much money you had, Aids was a death sentence.
Yet I'm sure that Freddy hadn't taken the moustache look when they had written We Will Rock You, and sure enough when I go to You Tube and play the original clip he hadn't. The other thing was that there was no mention of the video clip that they had produced to promote their song Bohemian Rapsody, and honestly, from what I have heard, that song actually propelled the whole idea of the video clip into the main stream - before that it was just bands playing on live studio sets.
Look, I'm going to say that I did like the film, but in the end, despite me being a huge Queen fan (even though I only own two of their albumns, and one of them is a Greatest Hits Album - where did all the others go), this is still basically a biography of a band, and the only reason I went to see it was, well, because it was Queen.","
            10/10
            "
"TheMovieDiorama","29 October 2018","Possibly the most frustrating cinema experience I've had all year. Why? Squandered potential. It's Queen. Quite possibly the biggest rock band to ever exist. Influential to millions. Idolised by thousands. The risks they took with their musicality and stage appearances were aspirational. And yet here we have a biopic that, whilst undoubtedly entertaining, just doesn't know what it wants to be. Chronicling the formation of Queen, Freddie Mercury rises to fame as their lead singer and soon starts clashing with the other band members. Malek singlehandedly saved this film. His performance was both transformative and engrossing, occasionally fully embodying Mercury's eccentric personality. The exaggerated false teeth did initially distract me, but these are diminished once the story starts to unfold. The other members were also well acted and certainly looked the part, particularly with the 70s hair styles. The whole plot intelligently culminates to the infamous Live Aid performance that shot Queen's reputation to stratospheric heights, which evidently is the greatest segment of this biopic. It allowed the music to come through and force Mercury's emotions to be conveyed through auditory senses. 'Bohemian Rhapsody' is deservedly one of the greatest songs of all time, and just the Live Aid performance alone showed its importance to Mercury and the band. It wants you to sing along, it wants you to tap your feet to the beat. It's infectious. It will leave you wanting to listen to their other fantastic songs. The development beforehand was well paced, nuanced and enjoyable to watch. However, there are two huge detriments to this biopic that lead to an underwhelming result. Bryan Singer's direction and McCarten's screenplay.Singer is unsure what angle to use to portray Mercury. He had a big career, with personal failures equalling his musical successes. Yet Singer attempts to balance the narrative with Mercury's life and what is essentially Queen's greatest hits. The two do not marinate seamlessly. Is it a Queen tribute? Or a Freddie Mercury biopic? Can it be both? Yes it can. But this is not substantial enough. The band has so much history and acute details that were glossed over in this film, ultimately feeling rushed. The time shifts range from a month to five years. Singer attempts to tackle too much, and it shows. In the first twenty minutes, they've already conceived their first album! That's ludicrous. Then we come to the screenplay. I'm sure Brian May and Roger Taylor's inclusion in this production somewhat hindered the telling of the band's history. It's completely sanitised. The often comedic dialogue juxtaposes the tonal shift of Mercury's eventual loneliness and battle with AIDS. There is literally a scene of Mercury contemplating the idea of conceptualising a solo career, only for the proceeding scene to joyfully create 'Another One Bites The Dust'. The script tries too hard at being a crowd pleaser, that the more important issues are diluted and consequently forms a tonal shift. Sure it allows Malek to show off his acting ability, but at what cost? There's no emotional resonance. Nothing feels memorable. It's a shame, as this could've been an excellent biopic. However the mediocre directing and script really hindered the emotional investment required to make this a successful trip down memory lane. It's a biopic that general audiences will enjoy, it's just not the biopic I wanted.","
            10/10
            "
"Toggy83","24 October 2018","I dont know how to elaborate more than this. If you are 35 and younger, you will understand after seeing this movie.","
            9/10
            "
"david-626-148063","24 October 2018","Wow! I feel mind-blown after watching the world premiere yesterday evening. I am whether a megahuge Queen fan (although I really like many of their songs), nor do I know how accurate the storytelling is (, but I suppose pretty accurate since both Brian May and Roger Taylor are co-producers of the film), but I found the movie both intoxicating and moving. I have read some of the professional reviews, and I cannot comprehend their search of documentary wisdom in this movie; this is not a documentary, but an entertaining story of one of the world's most iconic bands. And the film delivers on all aspects. (And the critics were so wrong about the song Bohemian Rhapsody upon its release).As Brian May pinpointed in the interview on the red carpet, he found that the casting was excellent (I don't remember the exact word he used). But he is so right. Every major role is perfectly casted, and all the band members are brilliant. But I must emphasize Rami Malek's role as Freddie. It has Oscar written all over it. What he does, is almost beyond comparison. Chapeau for even taking on this role, and then delivering what he does. Even better, although marginally, than Michael Douglas in Behind the Candelabra. And Gwilym Lee as Brian May is also a bull's eye, but Malek really carries the production on his tiny shoulders. It was like watching our beloved Freddie all over again.Many, many memorable moments, but the Live Aid performance recreated: it is one of the best scenes I have ever seen - and I have seen lots and lots of films. Chapeau for director(s) and producers and the whole team for to me delivering the best film YTD in 2018!!","
            8/10
            "
"brankovranjkovic","25 October 2018","Biopic.Charts the rise to fame of one of the greatest rock bands ever.Touches on Freddie Mercury's (his stage name) background, then how he met the band and became their front man, the development of their unique sound, their meteoric rise to fame, and the key moments leading to Band Aid.Briefly (probably too briefly) touches on Freddie's AIDS condition.The film starts at the same moment as it ends with Freddie arriving on (Live Aid) stage, the last 15 minutes is their whole Live Aid performance.Before the film my wife said to me ...
""I'm not a fan, I didn't like their music, and I'm not looking forward to this""
After the film my wife said to me ...
""I really enjoyed that, think I'm a fan""So ... this film is good, whether you think you're a fan or not.","
            9/10
            "
"LenaKrones","23 October 2018","I just saw the world premiere and oh boy let me tell you about it:This movie might not be a masterpiece but my heart is filled with such happiness and joy after watching it that I think it's going to burst (sorry for the cheesiness), Freddie Mercury, Brian May, Roger Taylor and John Deacon are so exquisitely portrayed I sometimes forgot it wasn't them, the performances were so on point and so powerful you could feel the energy burst through the screen. ¿Have you seen the famous car scene in Wayne's world? well, now imagine a full room doing the same, people couldn't help but sing along (lets be honest, it's impossible not too).I laughed, cried, sang and wished I could have seen Queen live, this band will live forever.","
            10/10
            "
"alanfield-73765","24 October 2018","This movie was a brilliant portrayal of the mixed up life, and massive talent that was Mercury ... and that is in no way meant to diminish the other fabulous musicians who made up this wonderful band. Whilst Freddie's life and death are quite well documented, his inner turmoil is not - this movie opens this up for all to see, and highlights actions and individuals who had a large influence on his fragile life, both good and horrendously bad. If only he could have been happy with the knowledge that he had one of the best singing voices, if not THE best, that ever fronted a rock band. Rami Malek does a wonderful job of portraying him, and in so many ways has captured his mannerisms to a tee. Loved it, and listening to the music in an IMAX auditorium was brilliant.","
            8/10
            "
"raudafitriani","2 November 2018","Rami Malek will be forever one of my favorite actors since the day I've watched Mr Robot, I knew he will be one of the biggest star someday. Freddie Mercury is legend, everyone loves him but not everyone knows his story. Freddy Mercury is fearless, but not everyone knows about his desperately lonely. I dont't know how accurate the storytelling is but this movie is absolutely mind blowing and brilliant, such a perfect tribute to the legend!I'm not saying this movie is perfect or masterpiece, infact this movie has some issues with the director and delayed. But after I walk out of the theater, my heart is filled with joy, tears of happiness, brought so many emotions. That's how you know the movie is fantastic, darling. The casting was brilliant, bravo! I can't get enough with Rami Malek, he obviously worked so hard, Rami Malek pulls off an amazing performance, he just brings Freddie back to life and I don't think you will see any better film about Freddie Mercury again. It's an oppurtunity of a lifetime, every aspects of this movie was executed beautifully. Also the whole cast was so close to perfection! Gwilym as Brian May, Ben as Roger, and Joseph as John are amazing as Rami. Truly magnificent. I recommend to go and see this movie, whether you are fans of Queen or not.","
            6/10
            "
"TheLittleSongbird","27 October 2018","Have a lot of appreciation for Queen. Not a favourite band of mine by all means, but it is difficult to not understand their importance and appeal. They had some iconic songs (namely ""Bohemian Rhapsody"", ""We Will Rock You"", ""We Are the Champions"" and ""Don't Stop Me Now"") and Freddie Mercury's immediately recognisable vocals and Brian May's virtuosic guitar playing were always out of this world.'Bohemian Rhapsody' fascinated me when hearing about it and became most of my most anticipated films for the year. When hearing some negativity for the film, my expectations lowered a little, but saw it anyway because it did look and sound good. It did turn out to be a good decision, it is good to see that others here loved it and don't agree with the mixed critical reception respectfully.Sure there are clichés (such as what some of the rest of Queen say) , but very few films are not and many are much worse in this regard. Like a lot of biopics, there are inaccuracies that may drive die-hard Queen fans into a frenzy, and the odd factual distortion, but again 'Bohemian Rhapsody' is not the first or worst film to do this and am going to judge it as a film on its own and not on a documentary level.As a film on its own terms, 'Bohemian Rhapsody' has an awful lot to admire. Getting the issues out of the way, the ones that could have been handled much better was the with the revelation of Freddie Mercury's AIDs diagnosis to the rest of the band, could have been done with more tact and less crass (like saying what it was a consequence of) and revealed too early and at the wrong time, and the implications with the phone ringing off post-taking centre stage that the event was a flop when it actually was a triumph.Some of the early parts were a touch rushed as well, Mercury's ascent to stardom could have been less breakneck.However, 'Bohemian Rhapsody' is stylishly film and evokes the period beautifully. As to be expected, the songs are incredible and will be embedded in your brain for a long time, then again it is Queen of course. They are affectionately staged and performed in a way that made me remember what made me appreciate Queen in the first place.Didn't find the script that simplistic or cliff-notes like, while there is a nice mix of moment of laughter, tension and tears and enough parts that entertained and informed, if not as in depth as it should. The story is never dull and the Live Aid depiction is both rousing and poignant. It's capably directed and while all the performances are fine if underused, it is Rami Malek's outstanding turn as Mercury that will live long in the memory, true to what made Mercury so interesting a person and performer without being an impersonation.Concluding, impressively done and better than anticipated. 8/10 Bethany Cox","
            5/10
            "
"isabellacheng","18 February 2019","This has got to be the most overrated film in recent history. Overrated by the audience. Critics got it right this time, even though they rarely do.Rami Malek offered a great impression of Freddie Mercury. But impression it was. He failed to capture the essence, the exoticness of the real Freddie, and his manliness. Rami's acting made Freddie looked like a generic gay man, which Freddie wasn't. Freddie's might have been a weirdo, but never acted like a sissy. At times, his acting simply looked ugly, such as his exaggerated emphasis on Freddie's incisors. You can easily verify what I am saying by searching for videos of the real Freddie Mercury, and you can see the real Freddie never acted the way as portrayed by Rami. Sacha Baron Cohen, the original actor slated to play Freddie, might have been a better choice.The worst part of the movie was the script. Far too much ""creative liberty"" was taken to alter historical events. Omitting details for clarity, adding details to fill in the blanks, compressing events to fit his career in a 2-hour movie, that's normal. But Queen never broke up! Freddie making a solo was never a betrayal! What the heck? As if the life of Freddie bloody Mercury wasn't legendary enough, the writers had to throw in fictional events to fill up the runtime. This is disrespectful to Freddie's legacy and his fans, and at the same time misleading to the youth, into thinking he's a self-centered a-hole (well, more of a self-centered a-hole).So much of the movie was revolved around Freddie's relationship with Mary Austin. Then all of a sudden, in one short scene Jim Hutton was introduced (with yet another unnecessary historical inaccuracy). And that was it. When Jim reappeared at the end of the movie, I almost forgot who he was. Jim was supposed to be the other love of Freddie's life, and the screenwriters made them fell in love in one short conversation, never to meet again until the end?Then finally it comes to the music. There are times the editors cram in the songs for the sake of playing Queen's songs, without adding to the narrative of the movie. Heck, they re-enacted 70% of the whole Wembley concert, and yet you can easily find the original performance even on YouTube. If they had to invest that much runtime in one event, they'd better not skim over other important events... oh, wait. For a proper music biographical film, try ""Ray"" (2004).The movie wasn't bad. Just not worth all the praise it's been getting.","
            6/10
            "
